# Server version 0.08 running on web112007.wireless.mcgill.ca:8123
# Game ID: 11
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sat Apr 05 20:07:53 EDT 2014
# Player 1: Player-0, 'random', running on web112007.wireless.mcgill.ca
# Player 2: Player-1, 'random', running on web112007.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on web112007.wireless.mcgill.ca
# Player 4: Player-3, 'random', running on web112007.wireless.mcgill.ca
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
0 (3,1) (4,0)
1 (15,1) (13,3)
1 null null
2 (2,13) (0,11)
2 null null
3 (13,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (11,15)
3 (11,15) (13,13)
3 (13,13) (15,11)
3 null null
0 (2,2) (3,1)
1 (14,0) (12,2)
1 null null
2 (3,15) (3,13)
2 null null
3 (15,12) (15,10)
3 (15,10) (15,12)
3 (15,12) (15,10)
3 (15,10) (15,12)
3 (15,12) (15,10)
3 null null
0 (3,0) (3,2)
0 (3,2) (3,0)
0 (3,0) (3,2)
0 (3,2) (3,0)
0 (3,0) (5,0)
0 null null
1 (14,3) (12,3)
1 null null
2 (3,14) (4,15)
3 (14,13) (13,12)
0 (5,0) (6,0)
1 (13,0) (11,2)
1 null null
2 (4,15) (5,14)
3 (13,12) (12,12)
0 (1,1) (2,2)
1 (13,1) (11,3)
1 null null
2 (5,14) (4,13)
3 (14,12) (14,11)
0 (0,3) (2,3)
0 null null
1 (14,2) (12,4)
1 null null
2 (1,15) (3,15)
2 (3,15) (1,15)
2 (1,15) (3,15)
2 null null
3 (12,12) (11,11)
0 (6,0) (5,1)
1 (13,2) (11,4)
1 null null
2 (2,15) (1,15)
3 (11,11) (12,10)
0 (3,1) (3,0)
1 (15,0) (13,2)
1 null null
2 (2,14) (3,14)
3 (15,10) (13,12)
3 null null
0 (2,3) (3,4)
1 (12,1) (10,3)
1 null null
2 (3,14) (4,15)
3 (13,14) (12,13)
0 (5,1) (6,1)
1 (12,2) (10,4)
1 null null
2 (3,15) (2,15)
3 (13,12) (14,12)
0 (2,1) (1,1)
1 (13,3) (11,5)
1 null null
2 (4,13) (4,12)
3 (14,12) (13,13)
0 (2,2) (3,3)
1 (10,3) (10,5)
1 null null
2 (1,13) (2,14)
3 (13,15) (11,13)
3 null null
0 (1,3) (1,4)
1 (11,3) (9,5)
1 null null
2 (1,14) (1,13)
3 (14,11) (13,11)
0 (6,1) (7,2)
1 (12,4) (10,6)
1 null null
2 (0,11) (1,10)
3 (14,14) (12,12)
3 (12,12) (14,14)
3 (14,14) (12,12)
3 (12,12) (14,14)
3 (14,14) (12,12)
3 null null
0 (1,2) (1,3)
1 (11,4) (9,6)
1 null null
2 (1,10) (2,9)
3 (15,15) (13,15)
3 (13,15) (15,15)
3 null null
0 (4,0) (5,1)
1 (13,2) (11,4)
1 null null
2 (2,9) (2,10)
3 (12,10) (13,9)
0 (5,1) (6,2)
1 (11,5) (9,7)
1 null null
2 (4,12) (5,11)
3 (14,15) (13,15)
0 (3,4) (3,2)
0 (3,2) (3,4)
0 null null
1 (10,4) (8,6)
1 null null
2 (2,10) (1,11)
3 (12,13) (13,14)
0 (7,2) (8,3)
1 (10,5) (8,7)
1 null null
2 (0,15) (1,14)
3 (13,14) (14,13)
0 (1,3) (2,4)
1 (12,3) (10,5)
1 null null
2 (3,13) (3,14)
3 (13,13) (11,11)
3 (11,11) (13,13)
3 (13,13) (11,15)
3 null null
0 (1,0) (1,2)
0 null null
1 (9,5) (7,7)
1 null null
2 (4,15) (3,15)
3 (13,15) (14,14)
0 (1,4) (1,5)
1 (10,6) (8,8)
1 null null
2 (1,15) (3,13)
2 null null
3 (12,12) (12,13)
0 (3,3) (3,5)
0 null null
1 (9,6) (7,8)
1 null null
2 (2,14) (1,15)
3 (11,13) (10,14)
0 (6,2) (7,2)
1 (11,4) (9,6)
1 null null
2 (1,15) (2,14)
3 (11,15) (9,13)
3 (9,13) (11,15)
3 null null
0 (1,2) (2,1)
1 (8,6) (6,8)
1 null null
2 (1,14) (2,13)
3 (12,14) (13,14)
0 (0,2) (1,3)
1 (9,7) (7,9)
1 null null
2 (2,14) (2,12)
2 null null
3 (13,9) (12,9)
0 (1,5) (0,5)
1 (8,7) (6,9)
1 null null
2 (1,11) (1,10)
3 (12,13) (11,12)
0 (2,4) (0,2)
0 null null
1 (10,5) (8,7)
1 null null
2 (2,15) (4,15)
2 null null
3 (13,14) (13,13)
0 (3,5) (4,4)
1 (8,8) (6,10)
1 null null
2 (1,12) (1,14)
2 null null
3 (10,14) (9,14)
0 (3,0) (1,2)
0 (1,2) (3,0)
0 (3,0) (1,2)
0 (1,2) (3,0)
0 (3,0) (1,0)
0 null null
