# Server version 0.08 running on web112016.wireless.mcgill.ca:8123
# Game ID: 256
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Tue Apr 08 22:05:30 EDT 2014
# Player 1: Player-0, 'random', running on web112016.wireless.mcgill.ca
# Player 2: Player-1, 's260488774Player', running on web112016.wireless.mcgill.ca
# Player 3: Player-2, 's260488774Player', running on web112016.wireless.mcgill.ca
# Player 4: Player-3, 'random', running on web112016.wireless.mcgill.ca
START Player-0 random
START Player-1 s260488774Player
START Player-2 s260488774Player
START Player-3 random
0 (0,3) (2,3)
0 null null
1 (15,3) (13,3)
1 null null
2 (3,15) (3,13)
2 null null
3 (15,12) (13,12)
3 null null
0 (3,0) (3,2)
0 null null
1 (14,3) (12,3)
1 null null
2 (0,12) (2,12)
2 null null
3 (12,15) (12,13)
3 null null
0 (3,1) (3,3)
0 null null
1 (12,0) (12,2)
1 (12,2) (12,4)
1 null null
2 (1,12) (3,12)
2 null null
3 (12,14) (12,12)
3 null null
0 (0,2) (2,4)
0 null null
1 (12,4) (11,4)
2 (2,13) (4,11)
2 null null
3 (15,13) (13,11)
3 null null
0 (2,0) (3,1)
1 (12,1) (12,2)
2 (2,15) (2,13)
2 null null
3 (13,15) (12,14)
0 (3,1) (4,2)
1 (12,3) (10,5)
1 null null
2 (1,13) (3,11)
2 (3,11) (5,11)
2 null null
3 (12,14) (11,13)
0 (4,2) (4,3)
1 (12,2) (12,3)
2 (5,11) (5,10)
3 (11,13) (11,12)
0 (2,4) (3,4)
1 (11,4) (9,6)
1 null null
2 (0,13) (1,13)
3 (13,11) (12,11)
0 (1,3) (2,4)
1 (13,2) (11,4)
1 null null
2 (1,13) (3,11)
2 (3,11) (5,11)
2 (5,11) (5,9)
2 null null
3 (14,12) (13,11)
0 (2,4) (4,4)
0 null null
1 (13,0) (13,2)
1 null null
2 (5,9) (6,9)
3 (13,11) (11,11)
3 null null
0 (2,3) (4,1)
0 null null
1 (14,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,4)
1 (10,4) (10,6)
1 (10,6) (8,6)
1 null null
2 (5,10) (7,8)
2 null null
3 (11,11) (10,11)
0 (4,1) (2,3)
0 null null
1 (8,6) (8,7)
2 (3,12) (5,10)
2 null null
3 (10,11) (11,11)
0 (2,3) (1,4)
1 (14,2) (12,4)
1 (12,4) (10,4)
1 (10,4) (10,6)
1 (10,6) (8,6)
1 (8,6) (8,8)
1 (8,8) (6,8)
1 (6,8) (6,10)
1 (6,10) (4,10)
1 (4,10) (4,12)
1 null null
2 (3,14) (3,12)
2 null null
3 (13,12) (11,10)
3 null null
0 (1,4) (2,3)
1 (15,2) (14,2)
2 (3,13) (5,11)
2 (5,11) (5,9)
2 (5,9) (7,9)
2 (7,9) (7,7)
2 (7,7) (9,7)
2 (9,7) (9,5)
2 (9,5) (11,5)
2 (11,5) (11,3)
2 null null
3 (11,10) (13,12)
3 null null
0 (4,4) (5,5)
1 (14,2) (12,4)
1 (12,4) (10,4)
1 (10,4) (10,6)
1 (10,6) (8,6)
1 (8,6) (8,8)
1 (8,8) (6,8)
1 (6,8) (6,10)
1 (6,10) (4,10)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,11)
2 (5,11) (5,9)
2 (5,9) (7,9)
2 (7,9) (7,7)
2 (7,7) (9,7)
2 (9,7) (9,5)
2 (9,5) (11,5)
2 null null
3 (11,12) (10,13)
0 (5,5) (4,4)
1 (4,12) (3,13)
2 (2,14) (4,12)
2 null null
3 (10,13) (11,12)
0 (3,4) (5,4)
0 null null
1 (3,13) (1,13)
1 null null
2 (4,12) (5,11)
3 (11,11) (10,11)
0 (5,4) (3,4)
0 null null
1 (15,1) (14,2)
2 (11,5) (12,4)
3 (10,11) (11,11)
0 (2,2) (3,1)
1 (13,3) (11,5)
1 (11,5) (9,5)
1 (9,5) (9,7)
1 (9,7) (7,7)
1 (7,7) (7,9)
1 (7,9) (5,9)
1 (5,9) (3,11)
1 (3,11) (3,13)
1 null null
2 (2,12) (4,12)
2 (4,12) (6,10)
2 (6,10) (6,8)
2 (6,8) (8,8)
2 (8,8) (8,6)
2 (8,6) (10,6)
2 (10,6) (10,4)
2 (10,4) (12,2)
2 (12,2) (14,0)
2 null null
3 (12,12) (12,14)
3 null null
0 (3,1) (2,2)
1 (3,13) (2,14)
2 (0,14) (2,12)
2 (2,12) (4,12)
2 (4,12) (6,10)
2 (6,10) (6,8)
2 (6,8) (8,8)
2 (8,8) (8,6)
2 (8,6) (10,6)
2 (10,6) (10,4)
2 (10,4) (12,2)
2 null null
3 (12,14) (12,12)
3 null null
0 (3,4) (2,5)
1 (4,10) (3,11)
2 (12,2) (12,1)
3 (13,13) (13,15)
3 null null
0 (2,5) (3,4)
1 (13,1) (12,2)
2 (11,3) (13,1)
2 null null
3 (13,15) (13,13)
3 null null
0 (2,2) (2,0)
0 null null
1 (12,2) (11,3)
2 (5,11) (6,10)
3 (13,12) (14,11)
0 (2,0) (2,2)
0 null null
1 (11,3) (10,4)
2 (6,10) (7,9)
3 (14,11) (13,12)
0 (4,4) (2,4)
0 null null
1 (10,4) (9,5)
2 (12,4) (13,3)
3 (13,12) (14,11)
0 (2,4) (4,4)
0 null null
1 (14,2) (12,4)
1 (12,4) (10,4)
1 (10,4) (8,6)
1 (8,6) (8,8)
1 (8,8) (6,10)
1 (6,10) (4,10)
1 (4,10) (2,12)
1 (2,12) (0,14)
1 null null
2 (13,3) (14,2)
3 (14,11) (13,12)
0 (3,2) (5,4)
0 null null
1 (9,5) (8,6)
2 (7,9) (8,8)
3 (12,12) (10,12)
3 null null
0 (5,4) (3,2)
0 null null
1 (8,6) (7,7)
2 (8,8) (9,7)
3 (10,12) (12,12)
3 null null
0 (3,3) (2,4)
1 (7,7) (6,8)
2 (9,7) (10,6)
3 (13,13) (13,11)
3 null null
0 (2,4) (3,3)
1 (6,8) (5,9)
2 (10,6) (11,5)
3 (13,11) (13,13)
3 null null
0 (2,2) (0,2)
0 null null
1 (3,11) (2,12)
2 (11,5) (12,4)
3 (11,12) (13,10)
3 null null
0 (0,2) (2,2)
0 null null
1 (2,12) (1,12)
2 (12,4) (13,3)
3 (13,10) (11,12)
3 null null
0 (2,2) (3,1)
1 (5,9) (4,10)
2 (13,3) (14,3)
3 (12,13) (11,13)
0 (3,1) (2,2)
1 (4,10) (3,11)
2 (2,13) (3,13)
3 (11,13) (12,13)
0 (3,4) (5,4)
0 null null
