# Server version 0.08 running on web112016.wireless.mcgill.ca:8123
# Game ID: 263
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Tue Apr 08 22:29:19 EDT 2014
# Player 1: Player-0, 's260488774Player', running on web112016.wireless.mcgill.ca
# Player 2: Player-1, 's260488774Player', running on web112016.wireless.mcgill.ca
# Player 3: Player-2, 's260488774Player', running on web112016.wireless.mcgill.ca
# Player 4: Player-3, 's260488774Player', running on web112016.wireless.mcgill.ca
START Player-0 s260488774Player
START Player-1 s260488774Player
START Player-2 s260488774Player
START Player-3 s260488774Player
0 (3,1) (4,2)
1 (14,1) (12,3)
1 null null
2 (2,13) (0,11)
2 null null
3 (15,12) (13,12)
3 null null
0 (4,2) (3,1)
1 (12,3) (14,1)
1 null null
2 (0,11) (2,13)
2 null null
3 (13,12) (15,12)
3 null null
0 (3,1) (4,1)
1 (13,2) (12,2)
2 (3,15) (4,15)
3 (15,12) (15,11)
0 (4,1) (3,1)
1 (12,2) (13,2)
2 (4,15) (3,15)
3 (15,11) (15,12)
0 (2,2) (0,4)
0 null null
1 (14,2) (14,4)
1 null null
2 (2,14) (2,12)
2 null null
3 (13,15) (11,15)
3 null null
0 (0,4) (2,2)
0 null null
1 (14,4) (14,2)
1 null null
2 (2,12) (2,14)
2 null null
3 (11,15) (13,15)
3 null null
0 (1,3) (2,3)
1 (13,2) (13,3)
2 (1,12) (0,11)
3 (15,14) (13,12)
3 null null
0 (2,3) (1,3)
1 (13,3) (13,2)
2 (0,11) (1,12)
3 (13,12) (15,14)
3 null null
0 (3,1) (4,0)
1 (14,3) (14,4)
2 (2,13) (4,15)
2 null null
3 (15,13) (15,11)
3 null null
0 (4,0) (3,1)
1 (14,4) (14,3)
2 (4,15) (2,13)
2 null null
3 (15,11) (15,13)
3 null null
0 (0,2) (0,4)
0 null null
1 (15,3) (15,4)
2 (1,12) (2,12)
3 (14,12) (15,11)
0 (0,4) (0,2)
0 null null
1 (15,4) (15,3)
2 (2,12) (1,12)
3 (15,11) (14,12)
0 (1,1) (3,3)
0 null null
1 (14,0) (12,2)
1 null null
2 (2,14) (4,14)
2 null null
3 (14,13) (12,13)
3 null null
0 (3,3) (1,1)
0 null null
1 (12,2) (14,0)
1 null null
2 (4,14) (2,14)
2 null null
3 (12,13) (14,13)
3 null null
0 (2,2) (3,3)
1 (15,2) (13,4)
1 null null
2 (2,15) (4,15)
2 null null
3 (14,12) (14,11)
0 (3,3) (2,2)
1 (13,4) (15,2)
1 null null
2 (4,15) (2,15)
2 null null
3 (14,11) (14,12)
0 (1,2) (3,2)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,13) (3,13)
3 (14,12) (15,11)
0 (3,2) (1,2)
0 null null
1 (12,3) (14,1)
1 null null
2 (3,13) (2,13)
3 (15,11) (14,12)
0 (2,1) (4,1)
0 null null
1 (14,3) (14,4)
2 (1,12) (1,11)
3 (14,12) (14,11)
0 (4,1) (2,1)
0 null null
1 (14,4) (14,3)
2 (1,11) (1,12)
3 (14,11) (14,12)
0 (2,2) (0,4)
0 null null
1 (13,2) (11,0)
1 null null
2 (1,13) (3,13)
2 null null
3 (14,15) (12,13)
3 null null
0 (0,4) (2,2)
0 null null
1 (11,0) (13,2)
1 null null
2 (3,13) (1,13)
2 null null
3 (12,13) (14,15)
3 null null
0 (0,2) (0,4)
0 null null
1 (15,2) (15,4)
1 null null
2 (0,12) (0,11)
3 (14,14) (12,12)
3 null null
0 (0,4) (0,2)
0 null null
1 (15,4) (15,2)
1 null null
2 (0,11) (0,12)
3 (12,12) (14,14)
3 null null
0 (2,2) (2,3)
1 (12,1) (11,1)
2 (3,14) (4,14)
3 (14,12) (15,11)
0 (2,3) (2,2)
1 (11,1) (12,1)
2 (4,14) (3,14)
3 (15,11) (14,12)
0 (2,0) (4,2)
0 null null
1 (14,0) (12,2)
1 null null
2 (2,14) (4,14)
2 null null
3 (13,13) (12,13)
0 (4,2) (2,0)
0 null null
1 (12,2) (14,0)
1 null null
2 (4,14) (2,14)
2 null null
3 (12,13) (13,13)
0 (2,1) (3,2)
1 (14,2) (13,3)
2 (1,12) (2,12)
3 (15,13) (13,11)
3 null null
0 (3,2) (2,1)
1 (13,3) (14,2)
2 (2,12) (1,12)
3 (13,11) (15,13)
3 null null
0 (1,0) (3,2)
0 null null
1 (14,3) (13,4)
2 (0,14) (2,12)
2 null null
3 (12,15) (11,14)
0 (3,2) (1,0)
0 null null
1 (13,4) (14,3)
2 (2,12) (0,14)
2 null null
3 (11,14) (12,15)
0 (3,0) (3,2)
0 null null
1 (15,1) (13,3)
1 null null
2 (2,15) (4,15)
2 null null
3 (14,13) (14,11)
3 null null
0 (3,2) (3,0)
0 null null
1 (13,3) (15,1)
1 null null
2 (4,15) (2,15)
2 null null
3 (14,11) (14,13)
3 null null
0 (2,0) (4,0)
0 null null
1 (12,1) (11,2)
2 (3,14) (3,13)
3 (14,12) (13,12)
0 (4,0) (2,0)
0 null null
1 (11,2) (12,1)
2 (3,13) (3,14)
3 (13,12) (14,12)
0 (2,1) (4,1)
0 null null
1 (12,1) (11,1)
2 (0,13) (2,11)
2 null null
3 (14,13) (13,12)
0 (4,1) (2,1)
0 null null
1 (11,1) (12,1)
2 (2,11) (0,13)
2 null null
3 (13,12) (14,13)
0 (1,3) (1,4)
1 (12,1) (12,2)
2 (1,15) (3,13)
2 null null
3 (15,12) (15,11)
0 (1,4) (1,3)
1 (12,2) (12,1)
2 (3,13) (1,15)
2 null null
3 (15,11) (15,12)
0 (0,1) (2,3)
0 null null
1 (13,2) (12,3)
2 (2,14) (4,14)
2 null null
3 (14,15) (12,13)
3 null null
0 (2,3) (0,1)
0 null null
1 (12,3) (13,2)
2 (4,14) (2,14)
2 null null
3 (12,13) (14,15)
3 null null
0 (2,2) (3,3)
1 (15,3) (14,4)
2 (3,15) (4,14)
3 (14,15) (12,13)
3 null null
0 (3,3) (2,2)
1 (14,4) (15,3)
2 (4,14) (3,15)
3 (12,13) (14,15)
3 null null
0 (2,2) (3,3)
1 (14,2) (14,4)
1 null null
2 (3,14) (4,15)
3 (13,13) (13,12)
0 (3,3) (2,2)
1 (14,4) (14,2)
1 null null
2 (4,15) (3,14)
3 (13,12) (13,13)
0 (3,1) (4,2)
1 (15,2) (13,4)
1 null null
2 (1,12) (1,11)
3 (15,13) (15,11)
3 null null
0 (4,2) (3,1)
1 (13,4) (15,2)
1 null null
2 (1,11) (1,12)
