# Server version 0.08 running on web112016.wireless.mcgill.ca:8123
# Game ID: 267
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Tue Apr 08 22:33:34 EDT 2014
# Player 1: Player-0, '260507016', running on 142.157.166.8
# Player 2: Player-1, 's260488774Player', running on web112016.wireless.mcgill.ca
# Player 3: Player-2, '260507016', running on 142.157.166.8
# Player 4: Player-3, 'random', running on web112016.wireless.mcgill.ca
START Player-0 260507016
START Player-1 s260488774Player
START Player-2 260507016
START Player-3 random
0 (2,2) (3,3)
1 (15,3) (13,3)
1 null null
2 (2,14) (4,14)
0 null null
3 (15,12) (13,12)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (14,3) (12,3)
1 null null
2 (0,14) (2,14)
2 (2,14) (2,12)
0 null null
3 (12,15) (12,13)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (12,0) (12,2)
1 (12,2) (12,4)
1 null null
2 (1,13) (3,11)
0 null null
3 (12,14) (12,12)
3 null null
0 (3,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (13,2) (11,4)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
0 null null
3 (13,13) (11,11)
3 null null
0 (4,4) (5,5)
1 (13,0) (13,2)
1 null null
2 (1,14) (3,12)
2 (3,12) (5,10)
0 null null
3 (13,15) (13,13)
3 null null
0 (2,0) (2,2)
0 (2,2) (4,4)
0 (4,4) (6,6)
0 null null
1 (14,0) (12,2)
1 null null
2 (2,12) (4,10)
2 (4,10) (6,10)
0 null null
3 (12,12) (10,10)
3 null null
0 (5,5) (7,7)
0 null null
1 (12,3) (10,5)
1 null null
2 (3,11) (5,11)
2 (5,11) (7,9)
0 null null
3 (14,12) (12,12)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 (6,5) (6,7)
0 (6,7) (8,7)
0 null null
1 (12,1) (12,3)
1 null null
2 (5,10) (7,10)
2 (7,10) (7,8)
2 (7,8) (9,6)
0 null null
3 (11,11) (9,9)
3 null null
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 (5,6) (7,6)
0 (7,6) (7,8)
0 null null
1 (13,1) (11,3)
1 (11,3) (11,5)
1 (11,5) (9,5)
1 (9,5) (9,7)
1 null null
2 (6,10) (8,8)
