# Server version 0.08 running on web112092.wireless.mcgill.ca:8123
# Game ID: 311
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 09 18:24:22 EDT 2014
# Player 1: Player-0, 's260488774Player', running on web112092.wireless.mcgill.ca
# Player 2: Player-1, 'random', running on web112092.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on web112092.wireless.mcgill.ca
# Player 4: Player-3, 'random', running on web112092.wireless.mcgill.ca
START Player-0 s260488774Player
START Player-1 random
START Player-2 random
START Player-3 random
0 (0,3) (2,3)
0 null null
1 (15,2) (13,4)
1 null null
2 (2,13) (2,12)
3 (15,12) (14,11)
0 (3,0) (3,2)
0 null null
1 (12,1) (11,2)
2 (2,14) (3,13)
3 (15,14) (15,12)
3 (15,12) (13,10)
3 null null
0 (3,1) (3,3)
0 null null
1 (13,4) (14,4)
2 (3,13) (4,13)
3 (14,12) (14,10)
3 null null
0 (2,2) (4,4)
0 null null
1 (14,4) (15,4)
2 (3,14) (4,15)
3 (13,10) (12,10)
0 (2,0) (2,2)
0 null null
1 (11,2) (10,1)
2 (0,15) (2,13)
2 (2,13) (0,11)
2 null null
3 (12,10) (13,10)
0 (1,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (14,2) (14,4)
1 null null
2 (0,13) (2,13)
2 (2,13) (0,15)
2 null null
3 (13,14) (13,12)
3 (13,12) (15,10)
3 null null
0 (5,4) (5,5)
1 (14,4) (14,2)
1 null null
2 (2,15) (3,14)
3 (13,15) (13,14)
0 (0,2) (1,2)
1 (15,3) (14,4)
2 (4,15) (4,14)
3 (14,11) (15,11)
0 (1,2) (3,4)
0 (3,4) (5,4)
0 (5,4) (5,6)
0 null null
1 (13,2) (12,3)
2 (1,13) (2,14)
3 (15,15) (13,15)
3 null null
0 (5,6) (6,6)
1 (13,1) (12,2)
2 (3,14) (3,13)
3 (14,14) (15,14)
0 (1,3) (1,2)
1 (12,3) (11,3)
2 (3,15) (2,15)
3 (14,10) (13,9)
0 (5,5) (7,7)
0 null null
1 (14,3) (14,5)
1 null null
2 (1,14) (3,14)
2 (3,14) (5,14)
2 null null
3 (15,13) (14,14)
0 (1,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (12,2) (11,2)
2 (4,13) (3,12)
3 (13,10) (13,8)
3 null null
0 (5,4) (5,5)
1 (15,0) (13,2)
1 (13,2) (15,2)
1 null null
2 (0,14) (1,13)
3 (15,10) (15,12)
3 null null
0 (6,6) (8,8)
0 null null
1 (15,1) (15,0)
2 (2,12) (1,11)
3 (13,15) (11,15)
3 null null
0 (7,7) (9,9)
0 null null
1 (10,1) (11,1)
2 (4,14) (4,13)
3 (13,8) (12,9)
0 (8,8) (10,10)
0 null null
1 (13,0) (12,1)
2 (3,13) (5,13)
2 null null
3 (14,13) (15,13)
0 (9,9) (11,11)
0 null null
1 (12,0) (13,0)
2 (1,11) (2,11)
3 (12,9) (12,10)
0 (10,10) (12,12)
0 null null
1 (14,1) (15,1)
2 (0,12) (0,13)
3 (13,9) (14,10)
0 (2,1) (4,3)
0 (4,3) (4,5)
0 (4,5) (6,5)
0 null null
1 (14,0) (13,1)
2 (1,12) (0,12)
3 (14,15) (15,15)
0 (6,5) (6,6)
1 (11,2) (11,4)
1 null null
2 (5,13) (6,14)
3 (12,10) (11,10)
0 (5,5) (7,7)
0 null null
1 (12,1) (11,2)
2 (2,11) (1,11)
3 (13,14) (12,13)
0 (6,6) (8,8)
0 null null
1 (13,1) (14,0)
2 (5,14) (5,15)
3 (15,13) (14,13)
0 (7,7) (9,9)
0 null null
1 (14,2) (14,3)
2 (0,12) (2,10)
2 null null
3 (12,13) (12,11)
3 null null
0 (8,8) (10,10)
0 null null
1 (15,0) (14,1)
2 (0,15) (1,14)
3 (14,13) (12,13)
3 null null
0 (3,3) (5,5)
0 null null
1 (11,2) (10,3)
2 (1,13) (1,12)
3 (12,13) (14,13)
3 (14,13) (14,15)
3 null null
0 (3,2) (3,3)
1 (14,3) (13,2)
2 (5,15) (4,15)
3 (13,13) (13,12)
0 (11,11) (13,13)
0 null null
1 (11,4) (12,4)
2 (4,15) (5,15)
3 (14,14) (14,13)
0 (12,12) (14,14)
0 null null
1 (13,2) (15,0)
1 null null
2 (1,15) (1,13)
2 null null
3 (12,11) (12,10)
0 (9,9) (11,11)
0 null null
1 (14,1) (13,2)
2 (4,13) (5,14)
3 (11,10) (10,11)
0 (10,10) (12,12)
0 (12,12) (14,12)
0 null null
1 (11,3) (9,3)
1 null null
2 (1,14) (1,15)
3 (10,11) (10,12)
0 (4,4) (6,6)
0 null null
1 (11,1) (10,2)
2 (5,14) (6,13)
3 (10,12) (9,11)
0 (5,5) (7,7)
0 null null
1 (9,3) (8,2)
2 (3,12) (2,11)
3 (12,14) (11,13)
