# Server version 0.08 running on web112092.wireless.mcgill.ca:8123
# Game ID: 322
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 09 19:45:19 EDT 2014
# Player 1: Player-0, '260507016', running on 142.157.166.58
# Player 2: Player-1, 's260488774Player', running on web112092.wireless.mcgill.ca
# Player 3: Player-2, 's260488774Player', running on web112092.wireless.mcgill.ca
# Player 4: Player-3, '260498767', running on wpa168103.wireless.mcgill.ca
START Player-0 260507016
START Player-1 s260488774Player
START Player-2 s260488774Player
START Player-3 260498767
0 (2,2) (3,3)
1 (12,0) (12,2)
1 null null
2 (0,12) (2,12)
2 null null
3 (14,15) (12,13)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (12,1) (12,3)
1 null null
2 (3,15) (3,13)
2 null null
3 (15,14) (13,12)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 null null
2 (3,14) (3,12)
2 null null
3 (13,15) (11,13)
3 null null
0 (3,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (14,3) (13,3)
2 (2,14) (4,12)
2 null null
3 (15,13) (13,11)
3 null null
0 (4,4) (5,5)
1 (11,3) (11,4)
2 (2,15) (2,14)
3 (15,12) (14,11)
0 (2,0) (2,2)
0 (2,2) (4,4)
0 (4,4) (6,6)
0 null null
1 (14,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (4,12) (4,11)
3 (12,15) (11,14)
0 (5,5) (7,7)
0 null null
1 (15,2) (14,2)
2 (2,14) (4,12)
2 (4,12) (4,10)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 (6,5) (6,7)
0 (6,7) (8,7)
0 null null
1 (10,4) (10,5)
2 (4,10) (5,10)
3 (13,14) (11,12)
3 null null
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 (5,6) (7,6)
0 (7,6) (7,8)
0 null null
1 (14,2) (12,4)
1 (12,4) (10,4)
1 (10,4) (10,6)
1 null null
2 (4,11) (6,9)
2 null null
3 (14,13) (12,11)
3 null null
0 (0,2) (2,2)
0 null null
1 (10,6) (9,6)
2 (0,13) (2,11)
2 (2,11) (4,13)
2 null null
3 (13,13) (11,11)
3 null null
0 (1,2) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 (5,6) (7,6)
0 (7,6) (9,8)
0 null null
1 (13,1) (11,3)
1 (11,3) (11,5)
1 (11,5) (9,5)
1 (9,5) (9,7)
1 null null
2 (4,13) (4,12)
3 (12,14) (10,12)
3 (10,12) (12,10)
3 null null
0 (2,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 (6,5) (6,7)
0 (6,7) (8,9)
0 (8,9) (10,7)
0 null null
1 (13,0) (13,1)
2 (4,12) (4,11)
3 (12,13) (10,11)
3 null null
0 (2,2) (4,4)
0 (4,4) (4,6)
0 null null
1 (13,1) (11,3)
1 (11,3) (11,5)
1 (11,5) (9,5)
1 null null
2 (1,13) (3,11)
2 (3,11) (5,11)
2 (5,11) (5,9)
2 (5,9) (7,9)
2 null null
3 (11,12) (9,10)
3 null null
0 (6,6) (8,8)
0 (8,8) (6,10)
0 (6,10) (6,8)
0 (6,8) (8,10)
0 (8,10) (10,10)
0 (10,10) (10,12)
0 (10,12) (12,14)
0 null null
1 (13,3) (12,4)
2 (1,12) (1,13)
3 (10,11) (8,9)
3 (8,9) (6,7)
3 null null
0 (1,1) (2,2)
1 (12,4) (11,5)
2 (1,13) (3,11)
2 (3,11) (5,11)
2 (5,11) (5,9)
2 null null
3 (12,12) (10,10)
3 (10,10) (8,10)
3 (8,10) (6,8)
3 null null
0 (2,2) (4,4)
0 (4,4) (6,4)
0 null null
1 (9,7) (8,8)
2 (7,9) (9,7)
2 null null
3 (11,11) (10,10)
0 (7,7) (9,9)
0 (9,9) (11,11)
0 (11,11) (13,9)
0 null null
1 (9,5) (8,6)
2 (5,9) (7,7)
2 (7,7) (9,5)
2 null null
3 (10,10) (9,9)
0 (8,7) (8,9)
0 (8,9) (10,11)
0 null null
1 (8,6) (8,7)
2 (9,7) (10,6)
3 (9,10) (8,9)
0 (7,8) (9,10)
0 (9,10) (11,12)
0 (11,12) (13,10)
0 (13,10) (15,12)
0 null null
1 (8,8) (7,8)
2 (10,6) (12,4)
2 null null
3 (15,15) (14,14)
0 (1,3) (2,4)
1 (12,2) (11,3)
2 (12,4) (12,2)
2 (12,2) (14,2)
2 null null
3 (14,14) (13,13)
0 (3,1) (4,2)
1 (15,1) (13,3)
1 null null
2 (9,5) (10,4)
3 (13,13) (12,12)
0 (9,8) (9,10)
0 (9,10) (11,12)
0 (11,12) (13,10)
0 (13,10) (11,10)
0 (11,10) (9,12)
0 null null
1 (11,3) (9,5)
1 (9,5) (9,7)
1 (9,7) (7,7)
1 (7,7) (5,9)
1 (5,9) (5,11)
1 (5,11) (3,11)
1 (3,11) (1,13)
1 null null
2 (1,15) (2,14)
3 (14,11) (13,10)
0 (3,3) (4,4)
1 (13,3) (12,4)
2 (2,14) (4,12)
2 (4,12) (4,10)
2 (4,10) (6,10)
2 null null
3 (11,14) (10,13)
0 (9,12) (11,14)
0 (11,14) (13,14)
0 null null
1 (12,4) (10,6)
1 (10,6) (8,6)
1 (8,6) (8,8)
1 null null
2 (6,10) (7,9)
3 (14,12) (14,11)
0 (13,9) (11,11)
0 (11,11) (13,13)
0 (13,13) (13,15)
0 null null
1 (8,8) (6,10)
1 (6,10) (4,10)
1 (4,10) (4,12)
1 (4,12) (2,14)
1 null null
2 (7,9) (7,7)
2 (7,7) (9,7)
2 (9,7) (9,5)
2 (9,5) (11,3)
2 (11,3) (13,3)
2 (13,3) (13,1)
2 null null
3 (9,9) (8,8)
0 (2,4) (3,5)
1 (14,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,6)
1 (10,6) (8,6)
1 null null
2 (10,4) (11,3)
3 (8,8) (7,7)
0 (3,5) (5,3)
0 (5,3) (7,5)
0 (7,5) (9,7)
0 (9,7) (11,7)
0 null null
1 (8,6) (8,8)
1 null null
2 (11,3) (12,2)
3 (14,11) (12,9)
3 null null
0 (4,2) (5,3)
1 (8,8) (7,9)
2 (12,2) (12,1)
3 (8,9) (8,8)
0 (5,3) (5,5)
0 (5,5) (3,5)
