# Server version 0.08 running on web112092.wireless.mcgill.ca:8123
# Game ID: 332
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 09 20:21:11 EDT 2014
# Player 1: Player-0, '260498767', running on wpa168103.wireless.mcgill.ca
# Player 2: Player-1, '260467886', running on 142.157.166.243
# Player 3: Player-2, '260507016', running on 142.157.166.58
# Player 4: Player-3, 's260488774Player', running on web112092.wireless.mcgill.ca
START Player-0 260498767
START Player-1 260467886
START Player-2 260507016
START Player-3 s260488774Player
0 (0,1) (2,3)
0 null null
1 (13,2) (12,3)
2 (2,13) (3,12)
3 (15,13) (13,11)
3 null null
0 (1,0) (3,2)
0 null null
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (0,15) (2,13)
2 (2,13) (4,11)
0 null null
3 (14,12) (12,10)
3 null null
0 (0,2) (2,4)
0 null null
1 (14,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (1,15) (3,13)
2 (3,13) (3,11)
2 (3,11) (5,11)
0 null null
3 (13,11) (11,9)
3 null null
0 (2,0) (4,2)
0 null null
1 (15,1) (13,3)
1 (13,3) (11,3)
1 (11,3) (9,5)
1 null null
2 (0,14) (2,12)
2 (2,12) (4,12)
2 (4,12) (6,10)
0 null null
3 (12,10) (10,8)
3 null null
0 (1,1) (3,3)
0 null null
1 (10,4) (10,3)
2 (2,14) (0,14)
2 (0,14) (2,12)
2 (2,12) (4,12)
2 (4,12) (4,10)
2 (4,10) (6,12)
0 null null
3 (11,9) (9,7)
3 null null
0 (0,0) (1,1)
1 (12,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,4)
1 (10,4) (8,6)
1 null null
2 (0,12) (0,14)
2 (0,14) (2,12)
2 (2,12) (4,12)
2 (4,12) (4,10)
0 null null
3 (9,7) (7,5)
3 null null
0 (3,1) (5,3)
0 null null
1 (15,2) (13,4)
1 (13,4) (11,2)
1 (11,2) (9,4)
1 (9,4) (9,6)
1 (9,6) (7,6)
1 null null
2 (3,12) (5,10)
2 (5,10) (7,10)
0 null null
3 (13,15) (11,13)
3 null null
0 (4,2) (6,4)
0 null null
1 (13,0) (15,2)
1 (15,2) (13,4)
1 null null
2 (4,11) (6,11)
2 (6,11) (8,9)
0 null null
3 (12,15) (12,13)
3 null null
0 (2,1) (4,3)
0 (4,3) (6,3)
0 (6,3) (6,5)
0 (6,5) (8,7)
0 null null
1 (13,4) (15,2)
1 (15,2) (13,0)
1 (13,0) (11,2)
1 (11,2) (9,4)
1 (9,4) (9,6)
1 (9,6) (7,8)
1 null null
2 (5,11) (7,9)
2 (7,9) (9,9)
2 (9,9) (11,7)
0 null null
3 (12,14) (12,12)
3 null null
0 (1,3) (3,5)
0 null null
1 (9,5) (7,7)
1 (7,7) (7,9)
1 (7,9) (7,11)
1 (7,11) (5,9)
1 (5,9) (3,11)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 (4,11) (4,9)
0 null null
3 (10,8) (9,9)
0 (2,4) (4,6)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (9,3)
1 null null
2 (6,10) (8,10)
2 (8,10) (10,8)
2 (10,8) (12,6)
0 null null
3 (7,5) (6,6)
0 (5,3) (7,5)
0 (7,5) (9,7)
0 null null
1 (14,2) (14,0)
1 (14,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,4)
1 (10,4) (10,2)
1 (10,2) (8,4)
1 null null
2 (2,15) (0,13)
2 (0,13) (2,11)
2 (2,11) (4,11)
0 null null
3 (15,12) (14,12)
0 (3,5) (5,7)
0 null null
1 (9,3) (7,5)
1 (7,5) (7,7)
1 (7,7) (7,9)
1 (7,9) (7,11)
1 (7,11) (5,13)
1 null null
2 (7,10) (9,8)
2 (9,8) (9,6)
0 null null
3 (14,12) (13,12)
0 (4,6) (6,8)
0 (6,8) (8,8)
0 (8,8) (10,10)
0 null null
1 (10,3) (12,5)
1 (12,5) (12,7)
1 (12,7) (10,7)
1 (10,7) (8,5)
1 (8,5) (6,7)
1 (6,7) (4,7)
1 null null
2 (4,10) (4,8)
2 (4,8) (4,6)
2 (4,6) (6,8)
2 (6,8) (8,8)
2 (8,8) (10,6)
2 (10,6) (12,8)
0 null null
3 (11,13) (11,12)
0 (1,2) (3,4)
0 null null
1 (8,6) (10,8)
1 (10,8) (8,10)
1 (8,10) (8,8)
1 (8,8) (6,8)
1 (6,8) (4,6)
1 (4,6) (4,8)
1 (4,8) (4,10)
1 (4,10) (2,12)
1 (2,12) (0,12)
1 (0,12) (2,14)
1 null null
2 (8,9) (6,7)
2 (6,7) (8,5)
2 (8,5) (10,7)
2 (10,7) (12,7)
2 (12,7) (12,5)
2 (12,5) (10,3)
0 null null
3 (11,12) (11,11)
0 (5,7) (6,8)
1 (7,6) (5,6)
1 (5,6) (3,8)
1 (3,8) (5,10)
1 (5,10) (3,12)
1 null null
2 (1,14) (2,13)
3 (14,13) (12,11)
3 (12,11) (10,11)
3 (10,11) (10,9)
3 (10,9) (8,9)
3 (8,9) (6,7)
3 (6,7) (6,5)
3 null null
0 (0,3) (1,4)
1 (11,4) (13,2)
1 (13,2) (13,0)
1 (13,0) (15,2)
1 (15,2) (13,4)
1 (13,4) (11,2)
1 (11,2) (9,4)
1 (9,4) (7,4)
1 (7,4) (5,4)
1 (5,4) (7,6)
1 (7,6) (5,6)
1 (5,6) (3,8)
1 null null
2 (9,6) (9,8)
2 (9,8) (7,6)
2 (7,6) (5,6)
2 (5,6) (7,4)
2 (7,4) (9,4)
2 (9,4) (11,2)
2 (11,2) (13,0)
2 (13,0) (13,2)
2 (13,2) (15,0)
0 null null
3 (6,5) (5,5)
0 (3,0) (4,1)
1 (7,8) (5,8)
1 (5,8) (3,10)
1 (3,10) (5,12)
1 (5,12) (5,14)
1 null null
2 (2,13) (2,15)
2 (2,15) (4,13)
2 (4,13) (6,13)
2 (6,13) (6,11)
0 null null
3 (13,14) (11,12)
3 (11,12) (11,10)
