# Server version 0.08 running on wpa136016.wireless.mcgill.ca:8123
# Game ID: 337
# Board class: halma.CCBoard
# Timeout: 3000
# Date: Thu Apr 10 14:41:09 EDT 2014
# Player 1: Player-0, 's260488774Player', running on wpa136016.wireless.mcgill.ca
# Player 2: Player-1, 's260488774Player', running on wpa136016.wireless.mcgill.ca
# Player 3: Player-2, 's260488774Player', running on wpa136016.wireless.mcgill.ca
# Player 4: Player-3, 's260488774Player', running on wpa136016.wireless.mcgill.ca
START Player-0 s260488774Player
START Player-1 s260488774Player
START Player-2 s260488774Player
START Player-3 s260488774Player
0 (0,2) (2,4)
0 null null
1 (15,2) (13,4)
1 null null
2 (1,14) (3,12)
2 null null
3 (15,13) (13,11)
3 null null
0 (1,3) (3,5)
0 null null
1 (13,0) (11,2)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,13)
2 null null
3 (14,12) (12,10)
3 null null
0 (1,1) (3,3)
0 null null
1 (12,1) (10,3)
1 null null
2 (3,14) (5,12)
2 null null
3 (13,11) (11,9)
3 null null
0 (2,4) (4,6)
0 null null
1 (11,2) (9,4)
1 null null
2 (4,13) (6,11)
2 null null
3 (12,10) (10,8)
3 null null
0 (3,5) (5,7)
0 null null
1 (10,3) (8,5)
1 null null
2 (5,12) (7,10)
2 null null
3 (11,9) (9,7)
3 null null
0 (4,6) (6,8)
0 null null
1 (9,4) (7,6)
1 null null
2 (6,11) (8,9)
2 null null
3 (10,8) (8,6)
3 (8,6) (6,6)
3 null null
0 (5,7) (7,9)
0 (7,9) (9,9)
0 null null
1 (8,5) (6,7)
1 (6,7) (6,9)
1 null null
2 (7,10) (9,8)
2 (9,8) (9,6)
2 null null
3 (13,15) (11,13)
3 null null
0 (3,3) (4,4)
1 (7,6) (6,7)
2 (2,15) (3,14)
3 (9,7) (8,6)
0 (4,4) (5,5)
1 (6,7) (5,8)
2 (3,12) (4,11)
3 (6,6) (4,4)
3 null null
0 (9,9) (10,10)
1 (5,8) (4,9)
2 (4,11) (5,10)
3 (4,4) (3,3)
0 (6,8) (7,9)
1 (6,9) (4,11)
1 null null
2 (5,10) (6,9)
3 (3,3) (1,1)
3 null null
0 (7,9) (9,9)
0 (9,9) (11,11)
0 null null
1 (4,11) (3,12)
2 (6,9) (7,8)
3 (11,13) (10,12)
0 (10,10) (12,12)
0 null null
1 (3,12) (1,14)
1 null null
2 (7,8) (8,7)
3 (10,12) (9,11)
0 (5,5) (6,6)
1 (13,4) (12,5)
2 (8,7) (10,5)
2 null null
3 (9,11) (8,10)
0 (6,6) (7,7)
1 (12,5) (11,6)
2 (9,6) (11,4)
2 null null
3 (8,10) (8,8)
3 (8,8) (6,6)
3 null null
0 (7,7) (8,8)
1 (11,6) (10,7)
2 (10,5) (12,3)
2 null null
3 (8,6) (7,5)
0 (8,8) (9,9)
1 (4,9) (3,10)
2 (8,9) (9,8)
3 (6,6) (5,5)
0 (9,9) (10,10)
1 (10,7) (8,9)
1 null null
2 (9,8) (10,7)
3 (7,5) (6,4)
0 (0,0) (0,2)
0 null null
1 (3,10) (2,11)
2 (10,7) (11,6)
3 (6,4) (5,3)
0 (0,2) (1,3)
1 (2,11) (0,13)
1 (0,13) (2,15)
1 null null
2 (11,6) (12,5)
3 (5,3) (4,2)
0 (12,12) (12,13)
1 (8,9) (7,10)
2 (12,5) (13,4)
3 (5,5) (4,4)
0 (10,10) (12,12)
0 null null
1 (7,10) (6,11)
2 (13,4) (15,2)
2 (15,2) (13,0)
2 null null
3 (4,4) (3,3)
0 (12,12) (13,12)
1 (6,11) (5,12)
2 (0,15) (0,13)
2 null null
3 (14,14) (14,12)
3 null null
0 (11,11) (12,12)
1 (2,15) (0,15)
1 null null
2 (12,3) (12,2)
3 (15,15) (14,14)
0 (0,1) (0,2)
1 (5,12) (4,13)
2 (12,2) (12,1)
3 (1,1) (0,0)
0 (1,0) (1,1)
1 (4,13) (2,15)
1 null null
2 (11,4) (12,3)
3 (4,2) (3,2)
0 (12,13) (11,14)
1 (15,0) (15,2)
1 null null
2 (13,0) (15,0)
2 null null
3 (3,2) (1,0)
3 null null
0 (11,14) (11,15)
1 (14,0) (13,0)
2 (12,3) (12,2)
3 (3,3) (2,3)
0 (11,15) (13,15)
0 (13,15) (15,15)
0 null null
1 (15,1) (14,0)
2 (12,2) (13,3)
3 (2,3) (0,1)
3 null null
0 (12,12) (12,13)
1 (14,0) (15,1)
2 (13,3) (12,2)
3 (15,14) (15,13)
0 (13,12) (15,14)
0 null null
1 (15,1) (14,0)
2 (12,2) (13,3)
3 (14,15) (13,15)
0 (12,13) (14,15)
0 null null
1 (14,0) (15,1)
2 (13,3) (12,2)
3 (12,15) (12,13)
3 null null
0 (14,15) (12,15)
0 null null
1 (15,1) (14,0)
2 (12,2) (13,3)
3 (12,13) (14,15)
3 null null
0 (3,0) (3,2)
0 null null
1 (14,0) (15,1)
2 (13,3) (12,2)
3 (1,0) (3,0)
3 null null
0 (3,2) (1,0)
0 null null
1 (15,1) (14,0)
2 (12,2) (13,3)
3 (15,12) (13,12)
3 null null
0 (15,14) (15,12)
0 null null
1 (14,0) (15,1)
2 (13,3) (12,2)
3 (13,12) (15,14)
3 null null
0 (0,3) (2,3)
0 null null
1 (15,1) (14,0)
2 (12,2) (13,3)
3 (0,1) (0,3)
3 null null
0 (2,3) (0,1)
0 null null
1 (14,0) (15,1)
2 (13,3) (12,2)
3 (14,12) (13,12)
0 (15,12) (14,12)
1 (15,1) (14,0)
2 (12,2) (13,3)
3 (13,12) (15,12)
3 null null
0 (1,3) (2,3)
1 (14,0) (15,1)
2 (13,3) (12,2)
3 (0,3) (1,3)
0 (2,3) (0,3)
0 null null
1 (15,1) (14,0)
2 (12,2) (13,3)
3 (15,12) (13,12)
3 null null
0 (14,12) (15,12)
1 (14,0) (15,1)
2 (13,3) (12,2)
3 (13,12) (14,12)
0 (0,3) (2,3)
0 null null
1 (15,1) (14,0)
2 (12,2) (13,3)
3 (1,3) (0,3)
0 (2,3) (1,3)
1 (14,0) (15,1)
2 (13,3) (12,2)
3 (14,12) (13,12)
0 (15,12) (14,12)
1 (15,1) (14,0)
2 (12,2) (13,3)
3 (13,12) (15,12)
3 null null
0 (1,3) (2,3)
1 (14,0) (15,1)
2 (13,3) (12,2)
3 (0,3) (1,3)
0 (2,3) (0,3)
0 null null
1 (15,1) (14,0)
2 (12,2) (13,3)
3 (15,12) (13,12)
3 null null
0 (14,12) (15,12)
